image_index,label,pt0_x,pt0_y,pt0_z,pt1_x,pt1_y,pt1_z,pt2_x,pt2_y,pt2_z,pt3_x,pt3_y,pt3_z,pt4_x,pt4_y,pt4_z,pt5_x,pt5_y,pt5_z,pt6_x,pt6_y,pt6_z,pt7_x,pt7_y,pt7_z,pt8_x,pt8_y,pt8_z,pt9_x,pt9_y,pt9_z,pt10_x,pt10_y,pt10_z,pt11_x,pt11_y,pt11_z,pt12_x,pt12_y,pt12_z,pt13_x,pt13_y,pt13_z,pt14_x,pt14_y,pt14_z,pt15_x,pt15_y,pt15_z,pt16_x,pt16_y,pt16_z,pt17_x,pt17_y,pt17_z,pt18_x,pt18_y,pt18_z,pt19_x,pt19_y,pt19_z,pt20_x,pt20_y,pt20_z
0,0,0.0,0.0,0.0,-0.06970946490764618,-0.05182427167892456,-0.018579352361911106,-0.11369980871677399,-0.1560484766960144,-0.022226333333009052,-0.13270407170057297,-0.24070295691490173,-0.026007350249045658,-0.1590798795223236,-0.300832062959671,-0.029770509986036586,-0.05815295875072479,-0.28007757663726807,0.0004830324556053256,-0.06889480352401733,-0.3803950995206833,-0.014536920649760532,-0.07975693047046661,-0.4433276057243347,-0.03105151438509779,-0.08904451131820679,-0.5004902482032776,-0.04527234816347914,-0.015124499797821045,-0.28974053263664246,-0.0068783501105542655,-0.015806123614311218,-0.40147747099399567,-0.019168190372937488,-0.019868135452270508,-0.4729132503271103,-0.03530284920131521,-0.025730669498443604,-0.5355047881603241,-0.049010635999792385,0.022473424673080444,-0.27426210045814514,-0.019056476367467212,0.029913321137428284,-0.37974438071250916,-0.03387995222007589,0.029553934931755066,-0.4474496990442276,-0.048396264849060344,0.023716390132904053,-0.5111469626426697,-0.060909392027014064,0.05731143057346344,-0.24027186632156372,-0.03389324033057051,0.06953401863574982,-0.3175097107887268,-0.050322575209492015,0.07025624811649323,-0.3719980865716934,-0.06038330653106527,0.06580217182636261,-0.4263790398836136,-0.06884754979407148
1,0,0.0,0.0,0.0,-0.07119174301624298,-0.051158249378204346,-0.01893408370054317,-0.11841955780982971,-0.15583664178848267,-0.02409726527369571,-0.14221184700727463,-0.24087738990783691,-0.02970794734395099,-0.1735319197177887,-0.30024874210357666,-0.03501883667743755,-0.06274572014808655,-0.28670358657836914,0.0018495395142679172,-0.07705482840538025,-0.38994309306144714,-0.012046277121072535,-0.088027223944664,-0.45319269597530365,-0.028114236489301447,-0.09635487198829651,-0.5106413066387177,-0.041994193166857485,-0.01911880075931549,-0.296053946018219,-0.005889643047368054,-0.021372079849243164,-0.4088556319475174,-0.01649602089858604,-0.025584548711776733,-0.4798663407564163,-0.03210999962723804,-0.030656352639198303,-0.5402631163597107,-0.045599238545065646,0.019828081130981445,-0.280836820602417,-0.018470050365095858,0.02593541145324707,-0.3882748633623123,-0.03086143878138614,0.024247825145721436,-0.45551368594169617,-0.043675927043324236,0.018480688333511353,-0.5157092213630676,-0.05534908321536136,0.05622684955596924,-0.24753502011299133,-0.03394883272088123,0.06789067387580872,-0.3273448944091797,-0.04734280478990627,0.06961691379547119,-0.38413940370082855,-0.05517319735920978,0.06770360469818115,-0.4387482702732086,-0.06223971915281368
2,0,0.0,0.0,0.0,-0.07021644711494446,-0.0473514199256897,-0.028119131502734263,-0.12133024632930756,-0.14928343892097473,-0.03696407521985634,-0.14925187826156616,-0.23779183626174927,-0.044287195009218294,-0.18095901608467102,-0.3010067641735077,-0.05074405069373711,-0.0642639696598053,-0.2805156409740448,-0.007887454283462603,-0.07988221943378448,-0.38769035041332245,-0.024214572784529764,-0.08895263075828552,-0.4514094442129135,-0.04084061602972611,-0.0949038565158844,-0.5094234645366669,-0.054872871887909014,-0.017524689435958862,-0.2911791205406189,-0.01126394192598923,-0.017756223678588867,-0.40674491226673126,-0.02344781863413914,-0.01966041326522827,-0.47722089290618896,-0.03895561168812378,-0.02246105670928955,-0.5378106534481049,-0.05232357750557526,0.024009644985198975,-0.2758246064186096,-0.020197627645956118,0.031701087951660156,-0.38297849893569946,-0.034911466342435915,0.032156139612197876,-0.44947512447834015,-0.046900560659395296,0.028806567192077637,-0.5107766687870026,-0.05751979867838486,0.06376379728317261,-0.2422952651977539,-0.03268510620020493,0.07601422071456909,-0.32163214683532715,-0.04784667263649567,0.0795794427394867,-0.37658753991127014,-0.055072495293842394,0.079506516456604,-0.43078306317329407,-0.06137923668049439
3,0,0.0,0.0,0.0,-0.07059863209724426,-0.0475427508354187,-0.032404245494433326,-0.1230328381061554,-0.15075823664665222,-0.04319427689773647,-0.15169161558151245,-0.2415899932384491,-0.05142113721234409,-0.18485961854457855,-0.3058154582977295,-0.05830225130779354,-0.057585448026657104,-0.2809191942214966,-0.011411904043086452,-0.0716215968132019,-0.3887590914964676,-0.028190517483778876,-0.07747676968574524,-0.4520178586244583,-0.045056445209809226,-0.08000150322914124,-0.5106783807277679,-0.05927961847049801,-0.00972774624824524,-0.28953927755355835,-0.012681750266381187,-0.007310360670089722,-0.4044104516506195,-0.024705288617440146,-0.005020618438720703,-0.47380003333091736,-0.039505568950005454,-0.003377586603164673,-0.5334502458572388,-0.052479749231167716,0.03244715929031372,-0.27208012342453003,-0.019898697419591826,0.04356691241264343,-0.37753692269325256,-0.03514612620932667,0.04745039343833923,-0.4430927634239197,-0.04622229716045467,0.04766279458999634,-0.5041665434837341,-0.05601133188469021,0.0727563202381134,-0.23685532808303833,-0.0310013477341613,0.08657750487327576,-0.31591832637786865,-0.04673338091237156,0.09188371896743774,-0.36980336904525757,-0.053398644237347526,0.09392085671424866,-0.42327332496643066,-0.059181654511519355
4,0,0.0,0.0,0.0,-0.06590622663497925,-0.055170416831970215,-0.03967865121754244,-0.11148795485496521,-0.16138345003128052,-0.053158051643691806,-0.13457638025283813,-0.2554410398006439,-0.06184716833027437,-0.16462290287017822,-0.3206471800804138,-0.06873313275369242,-0.04048877954483032,-0.28155186772346497,-0.01798151557537153,-0.04302549362182617,-0.39108873903751373,-0.03563004669936731,-0.0410369336605072,-0.455012783408165,-0.05288427260907724,-0.03607207536697388,-0.5127951800823212,-0.06682664093764856,0.008687138557434082,-0.28530260920524597,-0.014222220827065257,0.02341821789741516,-0.40043047070503235,-0.02561437648924425,0.03518757224082947,-0.4683023989200592,-0.038901212934575824,0.04626891016960144,-0.524889349937439,-0.05050970551761225,0.04931783676147461,-0.26404526829719543,-0.0169017308691366,0.07018709182739258,-0.36938805878162384,-0.031331855181775836,0.08219528198242188,-0.4313366264104843,-0.041470012936912326,0.09118956327438354,-0.48841719329357147,-0.05040260342153147,0.08635228872299194,-0.22531592845916748,-0.0239694596567972,0.10792410373687744,-0.2998669743537903,-0.038555949304424075,0.12000083923339844,-0.3476487100124359,-0.044296670083127765,0.13042789697647095,-0.3961068242788315,-0.04923197937401369
5,0,0.0,0.0,0.0,-0.046027958393096924,-0.07843267917633057,-0.05197998440729634,-0.06266367435455322,-0.19331839680671692,-0.06825325197445409,-0.059883177280426025,-0.2958778142929077,-0.07751042700277821,-0.07077288627624512,-0.37843888998031616,-0.08320632881390111,0.03291440010070801,-0.2872019112110138,-0.019193512638082666,0.057960331439971924,-0.39247334003448486,-0.03655209324227826,0.07813441753387451,-0.45180903375148773,-0.05462096563445584,0.09968149662017822,-0.5046520531177521,-0.0688156143473293,0.0774126648902893,-0.2722272276878357,-0.007776731875708265,0.11791640520095825,-0.37472856044769287,-0.017681760032644434,0.14819300174713135,-0.4328356385231018,-0.030519343231787843,0.1755930781364441,-0.4788362979888916,-0.04154406792389409,0.10885411500930786,-0.23647552728652954,-0.004447036673298044,0.15111714601516724,-0.3263953924179077,-0.018275154073705835,0.1791144609451294,-0.37792396545410156,-0.027637024660577936,0.20417022705078125,-0.4243907034397125,-0.03512985936271207,0.13459378480911255,-0.18588584661483765,-0.006957419932803077,0.17277824878692627,-0.2470349371433258,-0.020977323194017572,0.19569182395935059,-0.2853921949863434,-0.026593671430816812,0.21778720617294312,-0.32343775033950806,-0.030698935751786394
6,0,0.0,0.0,0.0,-0.04007059335708618,-0.08329272270202637,-0.05329474190671135,-0.050002992153167725,-0.19725388288497925,-0.06922078634102036,-0.0434497594833374,-0.2970602512359619,-0.0779174690921991,-0.05156832933425903,-0.37828123569488525,-0.08266690129835297,0.04545021057128906,-0.2817985713481903,-0.016357782654949915,0.0748099684715271,-0.38486248254776,-0.03318674246270348,0.09920930862426758,-0.4420846849679947,-0.051472788103410494,0.1248658299446106,-0.4921824336051941,-0.06546347344715286,0.08678543567657471,-0.26530206203460693,-0.002883698218056452,0.1307835578918457,-0.3645692467689514,-0.011716963150092852,0.16426044702529907,-0.4188690185546875,-0.02369998710651089,0.19460028409957886,-0.46027129888534546,-0.033865911312886965,0.11514872312545776,-0.22923502326011658,0.002090289132183898,0.15997499227523804,-0.3173145651817322,-0.009940635771044981,0.1888362169265747,-0.3654443025588989,-0.01804508025247742,0.21555590629577637,-0.407030314207077,-0.024532054909059298,0.1382995843887329,-0.1781330108642578,0.0008534091086858098,0.17813628911972046,-0.23620784282684326,-0.010461684674510252,0.2028236985206604,-0.2716354727745056,-0.014864531703778994,0.22757411003112793,-0.3057028353214264,-0.018185248025247347
7,0,0.0,0.0,0.0,-0.049651384353637695,-0.06757771968841553,-0.046432761969640524,-0.07789206504821777,-0.1662476360797882,-0.06764598426468638,-0.0896875262260437,-0.25676190853118896,-0.08319479462750223,-0.10920441150665283,-0.32954519987106323,-0.09642645207293299,0.019195854663848877,-0.2768566310405731,-0.029756276431157858,0.03610634803771973,-0.37945906817913055,-0.052028833451345236,0.05229669809341431,-0.43978798389434814,-0.07268795606739786,0.0712052583694458,-0.4925204813480377,-0.08846678075440195,0.0633431077003479,-0.268575519323349,-0.023364566760733396,0.09738075733184814,-0.37191957235336304,-0.0391781055653837,0.12377190589904785,-0.42963042855262756,-0.054244487109258444,0.14958596229553223,-0.4767599403858185,-0.06646961209423807,0.09607970714569092,-0.2375239133834839,-0.023479184629991323,0.13354510068893433,-0.32953670620918274,-0.04094725337870386,0.15821677446365356,-0.3813995122909546,-0.0510022179508951,0.1813511848449707,-0.42907850444316864,-0.0589130581641939,0.12264537811279297,-0.18919330835342407,-0.028635826456024915,0.15740960836410522,-0.2542470097541809,-0.04524744910247591,0.17942070960998535,-0.2939477562904358,-0.051609194400384695,0.20042282342910767,-0.3338879644870758,-0.05599278447277811
8,0,0.0,0.0,0.0,-0.0522841215133667,-0.05470043420791626,-0.04959980755512561,-0.08720487356185913,-0.1470145285129547,-0.07285675018493976,-0.10678446292877197,-0.23457017540931702,-0.08966797947351779,-0.1309351921081543,-0.30610156059265137,-0.10416202604238833,0.002425253391265869,-0.27508440613746643,-0.03422277405326213,0.01169431209564209,-0.38200004398822784,-0.05783512427871074,0.022141873836517334,-0.4455024152994156,-0.07918505727712954,0.03694415092468262,-0.5012587308883667,-0.09535448610250796,0.04710078239440918,-0.2737824320793152,-0.026665342817352666,0.07564425468444824,-0.3809983730316162,-0.04346685841147746,0.0974089503288269,-0.44357824325561523,-0.05881629868810023,0.11868065595626831,-0.4955713748931885,-0.07143412142460193,0.08184176683425903,-0.2487543225288391,-0.025966562176392927,0.11458617448806763,-0.3438992202281952,-0.04362384959523524,0.13623446226119995,-0.40225566923618317,-0.056314527834103956,0.15567892789840698,-0.4574998915195465,-0.06662251412336673,0.11077064275741577,-0.2062552571296692,-0.03047688103680457,0.14393502473831177,-0.27306604385375977,-0.04691367953483905,0.16361308097839355,-0.3176301121711731,-0.055498063409970655,0.18172216415405273,-0.3635919541120529,-0.0622215120441183
9,0,0.0,0.0,0.0,-0.05555838346481323,-0.04744577407836914,-0.0515799424641159,-0.09456533193588257,-0.13455548882484436,-0.07486046990680961,-0.11784160137176514,-0.21603453159332275,-0.09115721425342826,-0.14470720291137695,-0.2844093143939972,-0.10487885168123512,-0.013143718242645264,-0.2732487618923187,-0.03527927538681297,-0.009696543216705322,-0.38074518740177155,-0.05793878576088218,-0.0019132494926452637,-0.4423682540655136,-0.07839319249916343,0.010259628295898438,-0.4973333477973938,-0.09374606749344139,0.032631874084472656,-0.2753446102142334,-0.026530790611388966,0.05627310276031494,-0.3860705941915512,-0.04158008611130981,0.0754442811012268,-0.4494474083185196,-0.0557581908099678,0.09494531154632568,-0.5001851916313171,-0.06758014997768669,0.0689573884010315,-0.2534619867801666,-0.024820338472011372,0.0982745885848999,-0.3530428111553192,-0.04079889273572235,0.11776900291442871,-0.4112982004880905,-0.05102293705868988,0.1353447437286377,-0.4637453705072403,-0.05961685395169525,0.09954273700714111,-0.21381571888923645,-0.028685278727891728,0.12724679708480835,-0.284260094165802,-0.04330420261550216,0.1443052887916565,-0.3290271461009979,-0.04945892980623512,0.16053485870361328,-0.3727063238620758,-0.05445705866742401
